inchikey	name	smiles	ionizedSpecies	fragmentationProfile	tR	amenability
YASYVMFAVPKPKE-UHFFFAOYSA-N	Acephate	COP(=O)(NC(C)=O)SC	+H	142.9927;128.977;112.9998	3.19	1
WFDXOXNFNRHQEC-GHRIWEEISA-N	Azoxystrobin	COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1	+H	404.1241;372.098;344.103;329.0795;172.0393	7.22	1
WYEMLYFITZORAB-UHFFFAOYSA-N	Boscalid	O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl	+H	343.0399;307.0634;272.0935;271.0867;139.9899	7.45	1
PSOVNZZNOMJUBI-UHFFFAOYSA-N	Chlorantraniliprole	CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl	+H	450.9361;283.9221;279.0087;194.0004;190.9451	6.36	1
PGOOBECODWQEAB-UHFFFAOYSA-N	Clothianidin	CNC(=N[N+](=O)[O-])NCc1cnc(Cl)s1	+H	250.016;169.0543;131.967;113.0168	4.4	1
YKBZOVFACRVRJN-UHFFFAOYSA-N	Dinotefuran	CNC(=N[N+](=O)[O-])NCC1CCOC1	+H	157.1211;129.0897;114.1026;100.0869;87.0791;73.0635	3.55	1
BQYJATMQXGBDHF-UHFFFAOYSA-N	Difenoconazole (mixture Of Isomers)	CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1	+H	337.0394;264.9817;251.0026;251.0025;223.0076;188.0387;152.0625;139.0058	9.6	1
GBOYJIHYACSLGN-UHFFFAOYSA-N	Fluopicolide	O=C(NCc1ncc(C(F)(F)F)cc1Cl)c1c(Cl)cccc1Cl	+H	382.9727;364.9625;212.0086;172.9558	7.5	1
YWTYJOPNNQFBPC-UHFFFAOYSA-N	Imidacloprid	O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1	+H	212.0585;209.0588;175.0978;84.0556	4.41	1
TYLCDJYHUVCRBH-UHFFFAOYSA-N	Imidacloprid-olefin	C1=CC(=NC=C1CN2C=CN=C2N[N+](=O)[O-])Cl	+H	254.0439;212.1506;207.0433;206.0355;205.0277;171.0666	4.07	1
NNKVPIKMPCQWCG-UHFFFAOYSA-N	Methamidophos	COP(N)(=O)SC	+H	142.0086;127.993;112.0158;109.9825;78.9943	2.4	1
TVLSRXXIMLFWEO-UHFFFAOYSA-N	Prochloraz	CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1	+H	308.0007;265.9538;194.9168;85.0886;70.0288	9.22	1
STJLVHWMYQXCPB-UHFFFAOYSA-N	Propiconazol (mixture Of Isomers)	CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1	+H	204.982;204.9818;186.9714;186.9712;172.9555;158.9764;158.9763;69.07;69.0699	8.9	1
ZVQOOHYFBIDMTQ-UHFFFAOYSA-N	Sulfoxaflor	CC(c1ccc(C(F)(F)F)nc1)S(C)(=O)=NC#N	+H	278.0569;213.9229;174.0528;172.057;105.0118;62.9902	4.72	1
PXMNMQRDXWABCY-UHFFFAOYSA-N	Tebuconazol (folicur)	CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1	+H	308.1524;151.0309;125.0155;125.0153;70.0402;70.04;59.0491	8.7	1
WJCNZQLZVWNLKY-UHFFFAOYSA-N	Thiabendazole	c1ccc2[nH]c(-c3cscn3)nc2c1	+H	202.0433;175.0324;131.0604;65.0386	4.65	1
NWWZPOKUUAIXIW-DHZHZOJOSA-N	Thiamethoxam	CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-]	+H	246.0339;211.065;181.0544;131.9671	3.99	1
ONCZDRURRATYFI-TVJDWZFNSA-N	Trifloxystrobin	CON=C(C(=O)OC)c1ccccc1CON=C(C)c1cccc(C(F)(F)F)c1	+H	206.0814;186.0527;134.0601;131.0731;116.0495	9.52	1
YASYVMFAVPKPKE-UHFFFAOYSA-N	Acephate	COP(=O)(NC(C)=O)SC	+H			
WFDXOXNFNRHQEC-UHFFFAOYSA-N	Azoxystrobin	COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1	+H			
OMFRMAHOUUJSGP-IRHGGOMRSA-N	Bifenthrin	Cc1c(COC(=O)[C@@H]2[C@H](/C=C(\Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1	+H			
WYEMLYFITZORAB-UHFFFAOYSA-N	Boscalid	O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl	+H			
PSOVNZZNOMJUBI-UHFFFAOYSA-N	Chlorantraniliprole	CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl	+H			
PGOOBECODWQEAB-UHFFFAOYSA-N	Clothianidin	CNC(=N[N+](=O)[O-])NCc1cnc(Cl)s1	+H			
BQYJATMQXGBDHF-UHFFFAOYSA-N	Difenoconazole	CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1	+H			
YKBZOVFACRVRJN-UHFFFAOYSA-N	Dinotefuran	CNC(=N[N+](=O)[O-])NCC1CCOC1	+H			
ZOCSXAVNDGMNBV-UHFFFAOYSA-N	Fipronil	N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F	+H			
GBOYJIHYACSLGN-UHFFFAOYSA-N	Fluopicolide	O=C(NCc1ncc(C(F)(F)F)cc1Cl)c1c(Cl)cccc1Cl	+H			
YWTYJOPNNQFBPC-UHFFFAOYSA-N	Imidacloprid	O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1	+H			
TYLCDJYHUVCRBH-UHFFFAOYSA-N	Imidacloprid-olefin	O=[N+]([O-])Nc1nccn1Cc1ccc(Cl)nc1	+H			
ZXQYGBMAQZUVMI-UHFFFAOYSA-N	Lambda cyhalothrin	CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1	+H			
NNKVPIKMPCQWCG-UHFFFAOYSA-N	Methamidophos	COP(N)(=O)SC	+H			
TVLSRXXIMLFWEO-UHFFFAOYSA-N	Prochloraz	CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1	+H			
STJLVHWMYQXCPB-UHFFFAOYSA-N	Propiconazole	CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1	+H			
ZVQOOHYFBIDMTQ-UHFFFAOYSA-N	Sulfoxaflor	CC(c1ccc(C(F)(F)F)nc1)S(C)(=O)=NC#N	+H			
PXMNMQRDXWABCY-UHFFFAOYSA-N	Tebuconazole	CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1	+H			
WJCNZQLZVWNLKY-UHFFFAOYSA-N	Thiabendazole	c1ccc2[nH]c(-c3cscn3)nc2c1	+H			
NWWZPOKUUAIXIW-UHFFFAOYSA-N	Thiamethoxam	CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-]	+H			
ONCZDRURRATYFI-TVJDWZFNSA-N	Trifloxystrobin	CO/N=C(/C(=O)OC)c1ccccc1CO/N=C(\C)c1cccc(C(F)(F)F)c1	+H			
