ionSpecies	Count	gfreq	polfreq	polarity	z_apported	mz_apported	u
-H	4664	30.3	78.91	-	-1	-1.00727645232094	9.07042529007E-11
+CH3COOH-H	471	3.1	8.07	-	-1	59.0138529157391	5.44507451773659E-09
+HCO2	192	1.2	3.13	-	-1	44.9982028512791	5.43902734059594E-09
-CH2-H	147	1	2.6	-	-1	-15.022927	2.72E-10
+[M]-H	130	0.8	2.08	-	-1		
+Cl	105	0.7	1.82	-	-1	34.9694012619091	1.293847549234E-06
+CH2O2-H	96	0.6	1.56	-	-1	44.9982028512791	5.43902734059594E-09
-H-H2O	78	0.5	1.3	-	-1	-19.0178411363509	2.73271717179302E-09
-2H	33	0.2	0.52	-	-2	-2.01455290464187	1.814085058014E-10
-2H+Na	5	0	0	-	-1	20.9746677974491	4.36809383354445E-08
+HOO	4	0	0	-	-1	32.998203	0.00000000544
-HO	4	0	0	-	-1	-17.0021910718909	2.72064790979249E-09
+[M]+HCOOH-H	3	0	0	-	-1		
-H-CO2	2	0	0	-	-1	-44.9971056914609	5.43902734059594E-09
+H	7648	49.7	81.08	+	1	1.00727645232094	9.07042529007E-11
+Na	745	4.8	7.83	+	1	22.9892207020909	4.36805616358E-08
+NH4	445	2.9	4.73	+	1	18.0338255534409	2.82401831560104E-09
+H-H2O	289	1.9	3.1	+	1	-17.0032882317091	2.72064790979249E-09
+K	199	1.3	2.12	+	1	38.9631579064909	1.9092216178336E-07
+[M]+H	37	0.2	0.33	+	1		
+[M]+Na	28	0.2	0.33	+	1		
+CH3OH+H	21	0.1	0.16	+	1	33.0334912008109	2.75669717686234E-09
+2H	17	0.1	0.16	+	2	2.01455290464187	1.814085058014E-10
+CH3CN+H	9	0.1	0.16	+	1	42.0338255534409	2.82401831560104E-09
+H-NH3	7	0	0	+	1	-16.0192726487991	2.8064839762448E-09
+Li	4	0	0	+	1	7.01545485669094	3.15720154647E-08
+2Na-H	1	0	0	+	1	44.9711649518609	8.73611703592459E-08
+H-2(CH3)-NH	1	0	0	+	1	-44.0505727777191	2.85300274741115E-09
