formula	z	exactMW	u_exactMW
-H-C41H66O12	-1	-751.462704014341	3.31907315113272E-08
-H-C41H66O11	-1	-735.467789394771	3.05216252703396E-08
+H-C26H48O18	1	-647.276788246979	4.91297476465285E-08
-H-C42H79NO2	-1	-630.618357242061	9.49066425370491E-09
+H-C33H40O12	1	-627.244700271719	3.28208187914622E-08
+H-C33H38O11	1	-609.234135587689	3.00981818932789E-08
+H-C30H23F2N3O5S2	1	-606.097443074369	9.74451853478869E-08
+H-C27H47N2O7PS	1	-573.276883581159	5.37094518102995E-08
-H-C35H68O5	-1	-569.513951741811	1.49670450210901E-08
+H-C31H36O10	1	-567.223570903659	2.73760511046952E-08
+H-C28H33NO11	1	-558.198084430969	3.01812125556333E-08
+H-C27H31O11N	1	-544.182434366509	3.01643069024141E-08
+H-C28H31NO10	1	-540.187519746939	2.74703068305431E-08
+H-C30H40N2O7	1	-539.276275182729	2.01538738056779E-08
+H-C27H29NO10	1	-526.171869682479	2.74529305362988E-08
+H-C27H29O10N	1	-526.171869682479	2.74529305362988E-08
+H-C29H34O9	1	-525.213006219629	2.46545940660142E-08
+H-C25H35NO11	1	-524.213734495429	3.0199198496741E-08
+H-C25H33NO11	1	-522.198084430969	3.01812125556333E-08
+H-C28H32NO6P	1	-508.189448299309	2.7422913571597E-08
+H-C25H33NO10	1	-506.203169811399	2.74888693435993E-08
+H-C10H16O13N5P3	1	-505.988470135179	7.53545697559503E-08
+H-C18H34O16	1	-505.177408556619	4.3609014221645E-08
+H-C25H31NO10	1	-504.187519746939	2.74703068305431E-08
-H-C24H43O8P	-1	-491.276831793191	3.09712425243329E-08
+H-C17H32O16	1	-491.161758492159	4.35969383318642E-08
+H-C18H32O15	1	-487.166843872589	4.08838403345122E-08
+H-C20H38O13	1	-485.223964826829	3.55077181340053E-08
+H-C25H27NO9	1	-484.161304998449	2.47445871419539E-08
+H-C17H30O15	1	-473.151193808129	4.08717644483154E-08
-H-C30H46O4	-1	-471.346886413181	1.16821738234746E-08
-H-C18H30O14	-1	-471.170832093201	3.81716015469424E-08
+H-C20H38O12	1	-469.229050207259	3.28017621842923E-08
+H-C18H30O14	1	-469.156279188559	3.81586673414995E-08
-H-C22H43O8P	-1	-467.276831793191	3.09712425243329E-08
+H-C20H36O12	1	-467.213400142799	3.27836983383464E-08
+H-C16H30O15	1	-461.151193808129	4.08717644483154E-08
+H-C19H36O12	1	-455.213400142799	3.27836983383464E-08
+H-C18H30O13	1	-453.161364568989	3.54464956380034E-08
+H-C20H36O11	1	-451.218485523229	3.00784944374835E-08
+H-C20H34O11	1	-449.202835458769	3.00598888897232E-08
-H-C27H43O5	-1	-448.318325936061	1.41693480069484E-08
-H-C28H30O5	-1	-447.216600517071	1.38834017079784E-08
+H-C16H28O14	1	-443.140629124099	3.81465914596817E-08
+H-C17H28O13	1	-439.145714504529	3.54334954489059E-08
+H-C27H50O4	1	-437.363633637459	1.17495880544288E-08
+H-C19H34O11	1	-437.202835458769	3.00598888897232E-08
+H-C16H16F6O7	1	-433.072745376729	1.06593188641909E-07
+H-C20H32O10	1	-431.192270774739	2.73363526654964E-08
-H-C26H23NO3S	-1	-430.147141231151	4.56362110930156E-08
+H-C19H24O9S	1	-427.106827071729	5.10566340359185E-08
+H-C23H27N3O3S	1	-424.170036464289	4.63274652358538E-08
+H-C26H29O4N	1	-418.202381965059	1.15148938716549E-08
+H-C20H26N4O6	1	-417.177958120799	1.99200966612437E-08
-H-C18H35O8P	-1	-411.214231535351	3.08861201212569E-08
-H-C13H25SO8N2P	-1	-401.114200396311	5.46238356766036E-08
+H-C23H15O5P	1	-401.058434127399	2.56231968104297E-08
+H-C19H19ClF3NO3	1	-400.093279193379	1.29493939024178E-06
-H-C18H20O10	-1	-397.112923292621	2.72579896741372E-08
+H-C20H42O4NP	1	-390.277869382469	2.46995113571074E-08
+H-C20H25O5N3	1	-386.172144464569	1.61298585448316E-08
+H-C20H21NO7	1	-386.124525565929	1.93242215742649E-08
-H-C14H25O11N	-1	-384.150037077771	3.01337436162238E-08
+H-C24H44O-2(H2O)	1	-383.353068953429	9.20420016779987E-09
+H-C24H44O-2H2O	1	-383.353068953429	9.20420016779987E-09
-H-C17H34NO6P	-1	-380.219651268411	2.74624868828328E-08
+H-C12H28O13	1	-379.145714504529	3.54334954489059E-08
+H-C15H24O11	1	-379.124585136469	2.99831561651823E-08
+Na-C25H36O4	1	-377.272138936469	4.51326174769038E-08
+H-C12H26O13	1	-377.130064440069	3.54214195725161E-08
+H-C16H25O9N	1	-374.145654933989	2.47279571876919E-08
-H-C17H24O9	-1	-373.149308801971	2.45770535098616E-08
+H-C21H38O5	1	-369.264647870269	1.40037696951485E-08
+H-C23H44O3	1	-367.321768824509	9.04187406409692E-09
+H-C16H16O10	1	-367.067070259059	2.72253725886829E-08
+H-C24H44O-H2O	1	-365.342504269399	6.79963202505554E-09
+H-C23H42O3	1	-365.306118760049	8.96511609852045E-09
+H-C14H22O11	1	-365.108935072009	2.99710803044237E-08
+H-C17H30O8	1	-361.186791471139	2.19115445672088E-08
+H-C12H26O12	1	-361.135149820499	3.27083249317835E-08
+H-C15H22O10	1	-361.114020452439	2.72579896741372E-08
+Li-C24H44O-H2O	1	-359.334325865029	3.23075198208621E-08
+H-C12H24O12	1	-359.119499756039	3.26962490622347E-08
+H-C22H30O4	1	-357.207132992859	1.11900979226148E-08
-H-C21H38O4	-1	-355.284286155341	1.14373436310104E-08
+H-C21H40SO2	1	-355.267625250419	4.52286037020557E-08
+H-C21H41O3N	1	-354.301367732249	9.35683395929713E-09
+H-C16H18O9	1	-353.087805703949	2.45207503833901E-08
+H-C11H11F6NO5	1	-350.046864980869	1.05789763935478E-07
-H-C24H44O	-1	-349.346492490011	4.90447778193246E-09
+H-C18H22O5S	1	-349.111518528989	4.68188936644453E-08
-H-C10H14O7N5P	-1	-348.070361261101	3.20986235506201E-08
+H-C14H20O10	1	-347.098370387979	2.72459138249358E-08
+H-C15H22O9	1	-345.119105832869	2.45462368421649E-08
+H-C21H14O5	1	-345.076847096749	1.36467157910477E-08
+H-C17H28O7	1	-343.176226787109	1.91908536865862E-08
+H-C12H24O11	1	-343.124585136469	2.99831561651823E-08
+Li-C24H44O	1	-341.323761180999	3.19392209758431E-08
+H-C12H22O11	1	-341.108935072009	2.99710803044237E-08
-H-C10H17S2O6N3	-1	-340.063154079741	9.1397933730808E-08
-H-C11H6F9NO	-1	-340.037843734271	1.57356482995029E-07
+H-C21H40O3	1	-339.290468695589	8.89139723670395E-09
+H-C14H12O10	1	-339.035770130139	2.72096541212343E-08
-H-C15H29O6P	-1	-337.177452102831	2.72703297108998E-08
+H-C15H22N4O3S	1	-337.133985307569	4.68956792420014E-08
+H-C13H22O10	1	-337.114020452439	2.72579896741372E-08
-H-C16H16O8	-1	-337.091793924561	2.18076669310575E-08
+H-C13H24N2O8	1	-335.145989286619	2.25593141027455E-08
+H-C17H20O7	1	-335.113626529269	1.91118087315164E-08
+H-C17H25N3O4	1	-334.177229844999	1.39150658132903E-08
+H-C13H18O10	1	-333.082720323519	2.72350409826797E-08
+H-C19H27NO4	1	-332.186731900599	1.14762466265802E-08
+H-C14H18F3N3O3	1	-332.122749488009	5.37494496053875E-08
+H-C13H16O10	1	-331.067070259059	2.72253725886829E-08
+H-C14H6ClF4NO2	1	-329.995042317549	1.29574962444871E-06
+H-C19H38O4	1	-329.269733250699	1.13825430193206E-08
+H-C11H22O11	1	-329.108935072009	2.99710803044237E-08
+H-C18H18O6	1	-329.103061845239	1.63875196086579E-08
+H-C17H10F3N3O	1	-328.070319991029	5.31802828141292E-08
+H-C15H20O8	1	-327.108541148839	2.1821244231334E-08
+H-C19H25SN3	1	-326.169642541119	4.55946052613874E-08
+H-C12H22O10	1	-325.114020452439	2.72579896741372E-08
-H-C12H20O10	-1	-325.112923292621	2.72579896741372E-08
-H-C16H12N4O4	-1	-325.093131335081	1.56583736064964E-08
-H-C18H12O6	-1	-325.070664556501	1.63573692122185E-08
