AN;MN;Symbol;AW;u_AW;Abundance;u_Abundance;isoSymbol;allIsoSymbol
1;1;H+;1.00727645232094;4.98196748283246E-10;1;0.00007;H+;1H+
1;1;H;1.00782503223;9E-11;0.999885;0.00007;H;1H
1;2;H;2.01410177812;1.2E-10;0.000115;0.00007;2H;2H
1;3;H;3.0160492779;0.0000000024;0;0;3H;3H
1;4;H;4.02643;0.00011;0;0;4H;4H
1;5;H;5.035311;0.000096;0;0;5H;5H
1;6;H;6.04496;0.00027;0;0;6H;6H
1;7;H;7.0527;0.0115;0;0;7H;7H
1;2;2H;2.01410177812;1.2E-10;0.000115;0.00007;2H;2H
1;2;3H;3.0160492779;0.0000000024;0;0;3H;3H
2;3;He;3.0160293201;0.0000000025;0.00000134;0.00000003;3He;3He
2;4;He;4.00260325413;6E-11;0.99999866;0.00000003;He;4He
2;5;He;5.012057;0.000021;0;0;5He;5He
2;6;He;6.018885891;0.000000057;0;0;6He;6He
2;7;He;7.0279907;0.0000081;0;0;7He;7He
2;8;He;8.03393439;0.000000095;0;0;8He;8He
2;9;He;9.043946;0.00005;0;0;9He;9He
2;10;He;10.05279;0.00011;0;0;10He;10He
3;3;Li;3.0308;0.0215;0;0;3Li;3Li
3;4;Li;4.02719;0.00023;0;0;4Li;4Li
3;5;Li;5.012538;0.000054;0;0;5Li;5Li
3;6;Li;6.0151228874;0.0000000016;0.0759;0.0004;6Li;6Li
3;7;Li;7.0160034366;0.0000000045;0.9241;0.0004;Li;7Li
3;8;Li;8.022486246;0.00000005;0;0;8Li;8Li
3;9;Li;9.02679019;0.0000002;0;0;9Li;9Li
3;10;Li;10.035483;0.000014;0;0;10Li;10Li
3;11;Li;11.04372358;0.00000066;0;0;11Li;11Li
3;12;Li;12.052517;0.000016;0;0;12Li;12Li
3;13;Li;13.06263;0.00038;0;0;13Li;13Li
4;5;Be;5.0399;0.0225;0;0;5Be;5Be
4;6;Be;6.0197264;0.0000058;0;0;6Be;6Be
4;7;Be;7.016928717;0.000000076;0;0;7Be;7Be
4;8;Be;8.005305102;0.000000037;0;0;8Be;8Be
4;9;Be;9.012183065;0.000000082;1;0;Be;9Be
4;10;Be;10.013534695;0.000000086;0;0;10Be;10Be
4;11;Be;11.02166108;0.00000026;0;0;11Be;11Be
4;12;Be;12.0269221;0.000002;0;0;12Be;12Be
4;13;Be;13.036135;0.000011;0;0;13Be;13Be
4;14;Be;14.04289;0.00014;0;0;14Be;14Be
4;15;Be;15.05342;0.00435;0;0;15Be;15Be
4;16;Be;16.06167;0.00018;0;0;16Be;16Be
5;6;B;6.0508;0.0225;0;0;6B;6B
5;7;B;7.029712;0.000027;0;0;7B;7B
5;8;B;8.0246073;0.0000011;0;0;8B;8B
5;9;B;9.01332965;0.00000097;0;0;9B;9B
5;10;B;10.01293695;0.00000041;0.199;0.007;10B;10B
5;11;B;11.00930536;0.00000045;0.801;0.007;B;11B
5;12;B;12.0143527;0.0000014;0;0;12B;12B
5;13;B;13.0177802;0.0000012;0;0;13B;13B
5;14;B;14.025404;0.000023;0;0;14B;14B
5;15;B;15.031088;0.000023;0;0;15B;15B
5;16;B;16.039842;0.000026;0;0;16B;16B
5;17;B;17.04699;0.00018;0;0;17B;17B
5;18;B;18.05566;0.00018;0;0;18B;18B
5;19;B;19.0631;0.00435;0;0;19B;19B
5;20;B;20.07207;0.00755;0;0;20B;20B
5;21;B;21.08129;0.00975;0;0;21B;21B
6;8;C;8.037643;0.00002;0;0;8C;8C
6;9;C;9.0310372;0.0000023;0;0;9C;9C
6;10;C;10.01685331;0.00000042;0;0;10C;10C
6;11;C;11.0114336;0.000001;0;0;11C;11C
6;12;C;12;0;0.9893;0.0008;C;12C
6;13;C;13.00335483507;2.3E-10;0.0107;0.0008;13C;13C
6;14;C;14.0032419884;0.000000004;0;0;14C;14C
6;15;C;15.01059926;0.00000086;0;0;15C;15C
6;16;C;16.0147013;0.0000038;0;0;16C;16C
6;17;C;17.022577;0.000019;0;0;17C;17C
6;18;C;18.026751;0.000032;0;0;18C;18C
6;19;C;19.0348;0.00011;0;0;19C;19C
6;20;C;20.04032;0.00026;0;0;20C;20C
6;21;C;21.049;0.00435;0;0;21C;21C
6;22;C;22.05753;0.00026;0;0;22C;22C
6;23;C;23.0689;0.0115;0;0;23C;23C
6;13;13C;13.00335483507;2.3E-10;0.0107;0.0008;13C;13C
7;10;N;10.04165;0.00043;0;0;10N;10N
7;11;N;11.026091;0.00005;0;0;11N;11N
7;12;N;12.0186132;0.0000011;0;0;12N;12N
7;13;N;13.00573861;0.00000029;0;0;13N;13N
7;14;N;14.00307400443;2E-10;0.99636;0.0002;N;14N
7;15;N;15.00010889888;6.4E-10;0.00364;0.0002;15N;15N
7;16;N;16.0061019;0.0000025;0;0;16N;16N
7;17;N;17.008449;0.000016;0;0;17N;17N
7;18;N;18.014078;0.00002;0;0;18N;18N
7;19;N;19.017022;0.000018;0;0;19N;19N
7;20;N;20.023366;0.00006;0;0;20N;20N
7;21;N;21.02711;0.0001;0;0;21N;21N
7;22;N;22.03439;0.00021;0;0;22N;22N
7;23;N;23.04114;0.00325;0;0;23N;23N
7;24;N;24.05039;0.00435;0;0;24N;24N
7;25;N;25.0601;0.00545;0;0;25N;25N
8;12;O;12.034262;0.000026;0;0;12O;12O
8;13;O;13.024815;0.00001;0;0;13O;13O
8;14;O;14.00859636;0.00000012;0;0;14O;14O
8;15;O;15.00306562;0.00000053;0;0;15O;15O
8;16;O;15.99491461957;1.7E-10;0.99757;0.00016;O;16O
8;17;O;16.9991317565;6.9E-10;0.00038;0.00001;17O;17O
8;18;O;17.99915961286;7.6E-10;0.00205;0.00014;18O;18O
8;19;O;19.003578;0.0000028;0;0;19O;19O
8;20;O;20.00407535;0.00000095;0;0;20O;20O
8;21;O;21.008655;0.000013;0;0;21O;21O
8;22;O;22.009966;0.000061;0;0;22O;22O
8;23;O;23.015696;0.000097;0;0;23O;23O
8;24;O;24.01986;0.00012;0;0;24O;24O
8;25;O;25.02936;0.00012;0;0;25O;25O
8;26;O;26.03729;0.00017;0;0;26O;26O
8;27;O;27.04772;0.00545;0;0;27O;27O
8;28;O;28.05591;0.00755;0;0;28O;28O
9;14;F;14.034315;0.000044;0;0;14F;14F
9;15;F;15.018043;0.000067;0;0;15F;15F
9;16;F;16.0114657;0.0000089;0;0;16F;16F
9;17;F;17.00209524;0.00000027;0;0;17F;17F
9;18;F;18.00093733;0.0000005;0;0;18F;18F
9;19;F;18.99840316273;9.2E-10;1;0;F;19F
9;20;F;19.999981252;0.000000031;0;0;20F;20F
9;21;F;20.9999489;0.0000019;0;0;21F;21F
9;22;F;22.002999;0.000013;0;0;22F;22F
9;23;F;23.003557;0.000054;0;0;23F;23F
9;24;F;24.008115;0.000078;0;0;24F;24F
9;25;F;25.012199;0.000081;0;0;25F;25F
9;26;F;26.020038;0.000083;0;0;26F;26F
9;27;F;27.02644;0.0002;0;0;27F;27F
9;28;F;28.03534;0.00021;0;0;28F;28F
9;29;F;29.04254;0.00545;0;0;29F;29F
9;30;F;30.05165;0.00645;0;0;30F;30F
9;31;F;31.05971;0.00565;0;0;31F;31F
10;16;Ne;16.02575;0.000022;0;0;16Ne;16Ne
10;17;Ne;17.01771396;0.00000038;0;0;17Ne;17Ne
10;18;Ne;18.0057087;0.00000039;0;0;18Ne;18Ne
10;19;Ne;19.00188091;0.00000017;0;0;19Ne;19Ne
10;20;Ne;19.9924401762;0.0000000017;0.9048;0.0003;Ne;20Ne
10;21;Ne;20.993846685;0.000000041;0.0027;0.0001;21Ne;21Ne
10;22;Ne;21.991385114;0.000000018;0.0925;0.0003;22Ne;22Ne
10;23;Ne;22.99446691;0.00000011;0;0;23Ne;23Ne
10;24;Ne;23.99361065;0.00000055;0;0;24Ne;24Ne
10;25;Ne;24.997789;0.000048;0;0;25Ne;25Ne
10;26;Ne;26.000515;0.00002;0;0;26Ne;26Ne
10;27;Ne;27.007553;0.00007;0;0;27Ne;27Ne
10;28;Ne;28.01212;0.0001;0;0;28Ne;28Ne
10;29;Ne;29.01975;0.00011;0;0;29Ne;29Ne
10;30;Ne;30.02473;0.0003;0;0;30Ne;30Ne
10;31;Ne;31.0331;0.0017;0;0;31Ne;31Ne
10;32;Ne;32.03972;0.00545;0;0;32Ne;32Ne
10;33;Ne;33.04938;0.00645;0;0;33Ne;33Ne
10;34;Ne;34.05673;0.00555;0;0;34Ne;34Ne
11;18;Na;18.02688;0.00012;0;0;18Na;18Na
11;19;Na;19.01388;0.000011;0;0;19Na;19Na
11;20;Na;20.0073544;0.0000012;0;0;20Na;20Na
11;21;Na;20.99765469;0.0000003;0;0;21Na;21Na
11;22;Na;21.99443741;0.00000018;0;0;22Na;22Na
11;23;Na;22.989769282;0.0000000019;1;0;Na;23Na
11;24;Na;23.99096295;0.000000038;0;0;24Na;24Na
11;25;Na;24.989954;0.0000013;0;0;25Na;25Na
11;26;Na;25.9926346;0.0000038;0;0;26Na;26Na
11;27;Na;26.9940765;0.000004;0;0;27Na;27Na
11;28;Na;27.998939;0.000011;0;0;28Na;28Na
11;29;Na;29.0028771;0.0000079;0;0;29Na;29Na
11;30;Na;30.0090979;0.0000051;0;0;30Na;30Na
11;31;Na;31.013163;0.000025;0;0;31Na;31Na
11;32;Na;32.02019;0.00013;0;0;32Na;32Na
11;33;Na;33.02573;0.00645;0;0;33Na;33Na
11;34;Na;34.03359;0.00545;0;0;34Na;34Na
11;35;Na;35.04062;0.00635;0;0;35Na;35Na
11;36;Na;36.04929;0.00645;0;0;36Na;36Na
11;37;Na;37.05705;0.00655;0;0;37Na;37Na
12;19;Mg;19.034169;0.000054;0;0;19Mg;19Mg
12;20;Mg;20.01885;0.000029;0;0;20Mg;20Mg
12;21;Mg;21.011716;0.000018;0;0;21Mg;21Mg
12;22;Mg;21.99957065;0.00000034;0;0;22Mg;22Mg
12;23;Mg;22.99412421;0.00000074;0;0;23Mg;23Mg
12;24;Mg;23.985041697;0.000000014;0.7899;0.0004;Mg;24Mg
12;25;Mg;24.985836976;0.00000005;0.1;0.0001;25Mg;25Mg
12;26;Mg;25.982592968;0.000000031;0.1101;0.0003;26Mg;26Mg
12;27;Mg;26.984340624;0.000000053;0;0;27Mg;27Mg
12;28;Mg;27.9838767;0.0000022;0;0;28Mg;28Mg
12;29;Mg;28.988617;0.000012;0;0;29Mg;29Mg
12;30;Mg;29.9904629;0.0000037;0;0;30Mg;30Mg
12;31;Mg;30.996648;0.0000033;0;0;31Mg;31Mg
12;32;Mg;31.9991102;0.0000034;0;0;32Mg;32Mg
12;33;Mg;33.0053271;0.0000031;0;0;33Mg;33Mg
12;34;Mg;34.008935;0.000031;0;0;34Mg;34Mg
12;35;Mg;35.01679;0.00019;0;0;35Mg;35Mg
12;36;Mg;36.02188;0.00049;0;0;36Mg;36Mg
12;37;Mg;37.03037;0.00545;0;0;37Mg;37Mg
12;38;Mg;38.03658;0.00545;0;0;38Mg;38Mg
12;39;Mg;39.04538;0.00555;0;0;39Mg;39Mg
12;40;Mg;40.05218;0.00645;0;0;40Mg;40Mg
13;21;Al;21.02897;0.00435;0;0;21Al;21Al
13;22;Al;22.01954;0.00435;0;0;22Al;22Al
13;23;Al;23.00724435;0.00000037;0;0;23Al;23Al
13;24;Al;23.9999489;0.0000012;0;0;24Al;24Al
13;25;Al;24.9904281;0.00000051;0;0;25Al;25Al
13;26;Al;25.986891904;0.000000069;0;0;26Al;26Al
13;27;Al;26.98153853;0.00000011;1;0;Al;27Al
13;28;Al;27.98191021;0.00000013;0;0;28Al;28Al
13;29;Al;28.9804565;0.000001;0;0;29Al;29Al
13;30;Al;29.98296;0.000015;0;0;30Al;30Al
13;31;Al;30.983945;0.000022;0;0;31Al;31Al
13;32;Al;31.988085;0.000013;0;0;32Al;32Al
13;33;Al;32.990909;0.000081;0;0;33Al;33Al
13;34;Al;33.996705;0.000074;0;0;34Al;34Al
13;35;Al;34.999764;0.000075;0;0;35Al;35Al
13;36;Al;36.00639;0.00011;0;0;36Al;36Al
13;37;Al;37.01053;0.00013;0;0;37Al;37Al
13;38;Al;38.0174;0.00027;0;0;38Al;38Al
13;39;Al;39.02254;0.00545;0;0;39Al;39Al
13;40;Al;40.03003;0.00545;0;0;40Al;40Al
13;41;Al;41.03638;0.00645;0;0;41Al;41Al
13;42;Al;42.04384;0.00645;0;0;42Al;42Al
13;43;Al;43.05147;0.00755;0;0;43Al;43Al
14;22;Si;22.03579;0.00545;0;0;22Si;22Si
14;23;Si;23.02544;0.00545;0;0;23Si;23Si
14;24;Si;24.011535;0.000021;0;0;24Si;24Si
14;25;Si;25.004109;0.000011;0;0;25Si;25Si
14;26;Si;25.99233384;0.00000011;0;0;26Si;26Si
14;27;Si;26.98670481;0.00000015;0;0;27Si;27Si
14;28;Si;27.97692653465;4.4E-10;0.92223;0.00019;Si;28Si
14;29;Si;28.9764946649;5.2E-10;0.04685;0.00008;29Si;29Si
14;30;Si;29.973770136;0.000000023;0.03092;0.00011;30Si;30Si
14;31;Si;30.975363194;0.000000046;0;0;31Si;31Si
14;32;Si;31.97415154;0.00000032;0;0;32Si;32Si
14;33;Si;32.97797696;0.00000075;0;0;33Si;33Si
14;34;Si;33.978576;0.000015;0;0;34Si;34Si
14;35;Si;34.984583;0.000041;0;0;35Si;35Si
14;36;Si;35.986695;0.000077;0;0;36Si;36Si
14;37;Si;36.992921;0.000089;0;0;37Si;37Si
14;38;Si;37.995523;0.000075;0;0;38Si;38Si
14;39;Si;39.002491;0.000097;0;0;39Si;39Si
14;40;Si;40.00583;0.00025;0;0;40Si;40Si
14;41;Si;41.01301;0.0004;0;0;41Si;41Si
14;42;Si;42.01778;0.00545;0;0;42Si;42Si
14;43;Si;43.0248;0.00645;0;0;43Si;43Si
14;44;Si;44.03061;0.00645;0;0;44Si;44Si
14;45;Si;45.03995;0.00755;0;0;45Si;45Si
15;24;P;24.03577;0.00545;0;0;24P;24P
15;25;P;25.02119;0.00435;0;0;25P;25P
15;26;P;26.01178;0.00215;0;0;26P;26P
15;27;P;26.999224;0.000028;0;0;27P;27P
15;28;P;27.9923266;0.0000012;0;0;28P;28P
15;29;P;28.98180079;0.0000006;0;0;29P;29P
15;30;P;29.97831375;0.00000034;0;0;30P;30P
15;31;P;30.97376199842;7E-10;1;0;P;31P
15;32;P;31.973907643;0.000000042;0;0;32P;32P
15;33;P;32.9717257;0.0000012;0;0;33P;33P
15;34;P;33.97364589;0.00000087;0;0;34P;34P
15;35;P;34.9733141;0.000002;0;0;35P;35P
15;36;P;35.97826;0.000014;0;0;36P;36P
15;37;P;36.979607;0.000041;0;0;37P;37P
15;38;P;37.984252;0.000093;0;0;38P;38P
15;39;P;38.986227;0.000098;0;0;39P;39P
15;40;P;39.99133;0.00012;0;0;40P;40P
