score	mean	std	U	n	data	label
Accuracy	86.79460000000002	0.8417177146235622	0.602128580048688	10.0	[86.372 87.524 88.004 86.948 85.509 86.948 87.428 87.428 86.084 85.701]	-
Recall(0)	56.178200000000004	3.5255229966630477	2.5220072228836186	10.0	[52.88  59.162 56.545 56.545 54.45  57.068 63.351 57.592 52.88  51.309]	-
Precision(0)	79.16350000000001	3.8354778421700946	2.7437355621616333	10.0	[81.452 83.704 85.714 77.143 73.759 76.224 80.132 80.292 74.815 78.4  ]	-
F_1(0)	65.659	3.0944854894544997	2.213661565361985	10.0	[64.127 69.325 68.139 65.257 62.65  65.27  70.76  67.073 61.964 62.025]	-
Recall(1)	76.9444	4.26443254529056	3.0505912713950365	10.0	[75.926 78.704 82.407 83.333 73.148 80.556 73.148 77.778 71.296 73.148]	-
Precision(1)	82.06949999999999	3.5583865647852884	2.5455164032952817	10.0	[79.612 81.731 78.07  76.923 83.158 82.075 82.292 82.353 89.535 84.946]	-
F_1(1)	79.26729999999999	1.295605911447531	0.9268206361933089	10.0	[77.725 80.189 80.18  80.    77.832 81.308 77.451 80.    79.381 78.607]	-
Recall(2)	96.0969	0.6019744272899893	0.4306265637902697	10.0	[96.501 96.097 96.904 95.289 95.289 95.559 95.693 96.501 96.77  96.366]	-
Precision(2)	88.7426	1.0945660936340653	0.7830054141418087	10.0	[87.975 88.917 89.776 90.191 87.841 89.533 89.434 89.29  87.576 86.893]	-
F_1(2)	92.2688	0.5792569569907808	0.4143754645251459	10.0	[92.041 92.368 93.204 92.67  91.414 92.448 92.458 92.756 91.944 91.385]	-
MCC	0.6899314680173163	0.022195497492842366	0.015877702413351673	10.0	"[0.67870458 0.70804566 0.72123393 0.69836201 0.65749995 0.69562572
 0.70575237 0.70545762 0.66883441 0.65979843]"	-
AUCIMCP	0.6168296952629564	0.005861594170321976	0.004193131869840819	10.0	"[0.61535476 0.61829218 0.62562007 0.62086832 0.60995049 0.62319207
 0.61091686 0.61618772 0.60797183 0.61994264]"	-
