score	mean	std	U	n	data	label
Accuracy	88.6378	0.9349848245946152	0.6688478512680547	10.0	[90.388 87.524 87.715 89.115 88.351 88.542 88.861 87.397 89.052 89.433]	+H
Recall(0)	68.5412	2.790661004931348	1.9963186221500007	10.0	[73.176 65.176 66.118 70.588 70.824 66.824 70.588 64.706 68.471 68.941]	+H
Precision(0)	86.6898	2.044219264169086	1.4623463679777584	10.0	[89.368 85.231 85.152 86.705 83.611 87.926 85.714 85.139 88.45  89.602]	+H
F_1(0)	76.52759999999999	2.13933251272447	1.530386287182838	10.0	[80.466 73.866 74.437 77.821 76.688 75.936 77.419 73.529 77.189 77.925]	+H
Recall(1)	96.0908	0.6666734666319857	0.4769094683943781	10.0	[96.771 95.812 95.724 95.986 94.852 96.597 95.637 95.812 96.684 97.033]	+H
Precision(1)	89.1799	0.8658643016598451	0.6194020078411415	10.0	[90.679 88.122 88.396 89.796 89.761 88.702 89.762 87.981 89.211 89.389]	+H
F_1(1)	92.5038	0.6004651530272179	0.4295468940233657	10.0	[93.626 91.806 91.914 92.788 92.236 92.481 92.606 91.73  92.797 93.054]	+H
MCC	0.7001920925757414	0.025928537121495798	0.018548158092037054	10.0	"[0.74826992 0.66885255 0.67441431 0.71365304 0.69416829 0.69711931
 0.70699838 0.66520957 0.71133442 0.72190114]"	+H
AUCIMCP	0.719540026716848	0.008772776687751343	0.006275666388276439	10.0	"[0.74067139 0.7127894  0.71054944 0.72068301 0.71494668 0.7233543
 0.7247866  0.71645163 0.71826699 0.71290083]"	+H
AUCROC	0.939905618995	0.007904889501995239	0.005654817296327023	10.0	"[0.95435582 0.93913651 0.93000368 0.93396821 0.92991417 0.94440198
 0.94170806 0.93438324 0.94637231 0.9448122 ]"	+H
AUCPRC	0.9745665136799999	0.003658725320415997	0.0026172944250739856	10.0	"[0.98081657 0.9752817  0.96960616 0.97163256 0.96952914 0.97615128
 0.97578058 0.97246235 0.97725035 0.97715445]"	+H
Accuracy	82.8836	0.8493839859307144	0.6076127001714395	10.0	[83.323 84.341 83.195 83.195 82.623 82.241 82.177 81.668 82.177 83.896]	-H
Recall(0)	85.562	1.3235375996841863	0.9468017622693137	10.0	[85.55  85.321 87.729 86.583 83.372 86.583 85.206 84.289 84.404 86.583]	-H
Precision(0)	83.9368	1.2097157425518537	0.8653785107172813	10.0	[84.58  86.311 82.972 83.703 85.029 82.334 83.11  82.957 83.636 84.736]	-H
F_1(0)	84.7306	0.7504464152904102	0.5368370257521887	10.0	[85.062 85.813 85.284 85.119 84.192 84.405 84.145 83.618 84.018 85.65 ]	-H
Recall(1)	79.5423	1.9371482505075461	1.3857523789238042	10.0	[80.544 83.119 77.539 78.97  81.688 76.824 78.398 78.398 79.399 80.544]	-H
Precision(1)	81.5599	1.2627298866609082	0.9033025448207546	10.0	[81.713 81.946 83.513 82.511 79.749 82.11  80.945 80.    80.318 82.794]	-H
F_1(1)	80.5207	1.0554687268381444	0.7550368427983875	10.0	[81.124 82.528 80.415 80.702 80.707 79.379 79.651 79.191 79.856 81.654]	-H
MCC	0.6529978503491446	0.01739722294560128	0.012445223579154688	10.0	"[0.66193534 0.68348514 0.65873992 0.65882479 0.64918611 0.63923092
 0.63829152 0.62821761 0.63878732 0.67327983]"	-H
AUCIMCP	0.6636412304129917	0.005362455754017391	0.003836069756693252	10.0	"[0.67401795 0.66948584 0.65848807 0.66297895 0.668101   0.65851951
 0.66442532 0.66146429 0.65811883 0.66081253]"	-H
AUCROC	0.9103319581000001	0.00618393734437219	0.004423722285495842	10.0	"[0.9193716  0.92055555 0.90719485 0.91066399 0.9063585  0.90740548
 0.90479938 0.90381576 0.90670605 0.91644841]"	-H
AUCPRC	0.888721793875	0.007523259772094458	0.005381815833512035	10.0	"[0.89904758 0.89589401 0.88694249 0.89477962 0.88440506 0.88343571
 0.88264468 0.87580089 0.8877908  0.89647709]"	-H
